Company,Job_Title,Job_URL,Country,City,Sector,Tech_Stack,Source,Reason_Match,Hiring_Confidence,Language_Requirement,Scraped_At
Amazon Web Services,"Delivery Consultant: Full Stack Engineer, AWS Professional Services",https://au.indeed.com/viewjob?jk=87adf51021dee18b,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
World Wide Technology,Consulting Systems Engineer,https://au.indeed.com/viewjob?jk=eaa80ccf1a508d41,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
CareCone Group,Azure Data Engineer,https://www.linkedin.com/jobs/view/4423320873,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Mantel,Senior Data Engineer - Databricks,https://www.linkedin.com/jobs/view/4412398894,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Commonwealth Bank,Staff Software Engineer,https://www.linkedin.com/jobs/view/4416074859,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
White Bay,Software Engineer,https://www.linkedin.com/jobs/view/4424507134,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Heidi,Software Engineer - Localisation,https://www.linkedin.com/jobs/view/4366946936,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
NCS Group Australia,Solution Designer,https://www.linkedin.com/jobs/view/4424699385,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Advance Delivery Consulting,"ETL/Data Migration Test Analyst &#8211; Long Term Project (x5 Roles) (Locations: VIC, TAS)",https://www.linkedin.com/jobs/view/4424681943,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
CORTO,Senior Software Engineer (Python/AI),https://www.linkedin.com/jobs/view/4425958805,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Nine,AI Engineer,https://www.linkedin.com/jobs/view/4416627891,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
N2S.Global,Data Engineer – Azure Databricks,https://www.linkedin.com/jobs/view/4421644728,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Ampstek,AI/Automation Engineer with Python,https://www.linkedin.com/jobs/view/4425583122,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
K&K Global Talent Solutions INC.,Data Engineer,https://www.linkedin.com/jobs/view/4425575555,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
PwC Australia,Data Scientist | LLM Engineer | Associate/Senior Associate,https://www.linkedin.com/jobs/view/4425821651,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Zurich Australia,Data Platform Engineer,https://www.linkedin.com/jobs/view/4415781233,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Temple & Webster,AI Implementation Engineer,https://www.linkedin.com/jobs/view/4425558739,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Ubank,Lead Data Engineer,https://www.linkedin.com/jobs/view/4422249468,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Tabcorp,Data Operations Engineer,https://www.linkedin.com/jobs/view/4416608059,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Lanson Partners,Generative AI Engineer,https://www.linkedin.com/jobs/view/4425576450,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Canva,Senior Machine Learning Engineer - AI Enablement (AU remote),https://www.linkedin.com/jobs/view/4416606001,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
WaterNSW,Domain Architect - Data AI & IoT,https://www.linkedin.com/jobs/view/4425804348,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Synechron,Principal Platform Engineer (Apache Airflow SME),https://www.linkedin.com/jobs/view/4419674571,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Zone IT Solutions,Denodo Engineer,https://www.linkedin.com/jobs/view/4380301612,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Transport for NSW,Data Modeller,https://www.linkedin.com/jobs/view/4425623774,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Alignerr,Data Science Expert - AI Content Specialist,https://www.linkedin.com/jobs/view/4425946644,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
BaptistCare,AI Solutions Architect,https://www.linkedin.com/jobs/view/4425580874,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Tata Consultancy Services,System Engineer,https://www.linkedin.com/jobs/view/4425806503,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Mane Consulting,PMO Data Analyst,https://www.linkedin.com/jobs/view/4425984464,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Transgrid,Senior Project Engineer,https://www.linkedin.com/jobs/view/4416252342,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
NiCE,"Director, Portfolio Solutions Engineering, ANZ",https://www.linkedin.com/jobs/view/4412820727,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Cohesity,Senior Sales Engineer (Sydney),https://www.linkedin.com/jobs/view/4426325236,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Future Secure AI,Senior Business Analyst,https://www.linkedin.com/jobs/view/4425994328,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Polynovo,Process Validation Engineer,https://au.indeed.com/viewjob?jk=dfa3e5a0bd6c8626,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
EasyGo,Junior MLOps Engineer,https://au.indeed.com/viewjob?jk=4efb3cbbb62d6de5,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
Remote,Payroll Specialist Lead - Australia,https://au.indeed.com/viewjob?jk=a9c6fbe9caf33aba,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
University of Melbourne,Senior Clinical Research Scientist (Neurophysiologist),https://au.indeed.com/viewjob?jk=d9715e768a9b3dd8,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
Sandvik,Senior Design Engineer,https://au.indeed.com/viewjob?jk=371f736d63807e95,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
Gallagher Group,Software Test Engineer,https://au.indeed.com/viewjob?jk=2eb8c55f6c08f185,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
Moose Toys,Data Engineer,https://www.linkedin.com/jobs/view/4415615170,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
KICK,Senior Software Engineer - KICK Creator Tools & Engagement,https://www.linkedin.com/jobs/view/4366998094,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
Amazon Web Services (AWS),"Data Center IT Support Engineer, Data Centre Operations",https://www.linkedin.com/jobs/view/4375815247,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
Slater and Gordon Lawyers,AI Engineer | 12 Month Max Term,https://www.linkedin.com/jobs/view/4425589118,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
Google,AI Adoption Customer Engineer,https://www.linkedin.com/jobs/view/4425834064,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
Bupa Australia,Senior Data Engineer,https://www.linkedin.com/jobs/view/4425551312,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
Circuit Recruitment Group,Staff Data Engineer,https://www.linkedin.com/jobs/view/4425551158,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
Tamer Freres SAL,Junior Data Analys,https://www.linkedin.com/jobs/view/4426374209,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
Fitness Passport,Product Data Scientist,https://www.linkedin.com/jobs/view/4422239871,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
St John of God Health Care,Data Scientist (Funding & Costing),https://www.linkedin.com/jobs/view/4425978780,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
Frakton is now Kin + Carta,Data Analyt (Entry / Junior),https://www.linkedin.com/jobs/view/4422284877,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
Traild,Senior Software Engineer - Australia,https://www.linkedin.com/jobs/view/4351630313,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
Open Point,Full Stack Engineer,https://www.linkedin.com/jobs/view/4425067579,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
Department of Transport and Planning,Intern - Data Support Officer,https://www.linkedin.com/jobs/view/4422233568,Australia,Melbourne,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Melbourne, Australia",High,English,2026-06-17
Autonomy & Asset Management Group,RELIABILITY ENGINEER | DEVELOPING,https://au.indeed.com/viewjob?jk=a2cd61c88d73d2f8,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
Boeing,Principal Engineer - MQ-28 Global Digital Ecosystem,https://au.indeed.com/viewjob?jk=5b6cb9bf394c6693,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
Squiz,GTM Sales Engineer and AI Automation Specialist,https://au.indeed.com/viewjob?jk=60f4c3a96da78c91,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
Softkey Solutions Pty Ltd,AI/ML Engineer,https://au.indeed.com/viewjob?jk=f483eb51b47b3412,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
Sheldon College,ICT Network and Infrastructure Engineer,https://au.indeed.com/viewjob?jk=4bee0c89f1751b2d,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
Raytheon,ATCSS Electrical Engineer,https://au.indeed.com/viewjob?jk=76f2dac2fb7edb89,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
TARRYRISE HOME & STAFF SERVICES,Senior Control Systems Engineer,https://au.indeed.com/viewjob?jk=539ddc52ef98d56f,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
PSC Biotech,Manufacturing Engineer (GMP) Brisbane,https://au.indeed.com/viewjob?jk=b2de1ef0b6ff0625,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
Datacom Connect,Graduate AI & CX Engineer,https://au.indeed.com/viewjob?jk=ff51082f1eafdfe0,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
HealthCare Logic Pty Ltd,Financial Controller,https://au.indeed.com/viewjob?jk=f13242bd59e38b82,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
Shubh IT Solutions Pty Ltd,Senior DevOps Engineer,https://au.indeed.com/viewjob?jk=87c5acaec9a74f51,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
Megaport,Frontend Software Engineer,https://au.indeed.com/viewjob?jk=f2efe6c768d93748,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
Woolworths Group Limited,Refrigeration Service Technician | QLD,https://au.indeed.com/viewjob?jk=f2437e7d742e81f8,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
Onterris,Graduate Environmental Scientist,https://au.indeed.com/viewjob?jk=af0402f7415bdfb8,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
AECOM,Senior CAD Drafter I Energy,https://au.indeed.com/viewjob?jk=fca77ccd2ecb522f,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
Queensland Government,Data Engineer,https://au.indeed.com/viewjob?jk=3ed328e0915d0443,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
RPMGlobal Holdings Limited,Software Engineer (C#/.NET),https://au.indeed.com/viewjob?jk=d55a5b189764cbff,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
Cadence Connect,Senior Software Engineer,https://au.indeed.com/viewjob?jk=1c1e3cb13e82d842,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
Appoint Pty Ltd,Artificial Intelligence Engineer,https://www.linkedin.com/jobs/view/4425069545,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
RPMGlobal,Data Scientist,https://www.linkedin.com/jobs/view/4398200714,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
Gallagher Bassett,Senior Data Scientist,https://www.linkedin.com/jobs/view/4416063073,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
UpGuard,Software Engineer (Multiple Levels),https://www.linkedin.com/jobs/view/3871589110,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
iSelect,Product Analyst,https://www.linkedin.com/jobs/view/4374348890,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
Publicis Groupe ANZ,Analyst,https://www.linkedin.com/jobs/view/4386815245,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
DAIV,Full Stack Engineer,https://www.linkedin.com/jobs/view/4422271896,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
Origin Energy,Lead Engineer - Software,https://www.linkedin.com/jobs/view/4425588769,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
INDEX Consultants,Software Engineer,https://www.linkedin.com/jobs/view/4422256092,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
Caterpillar Inc.,Principal Software Engineer – MineStar Modernization & Innovation,https://www.linkedin.com/jobs/view/4423339754,Australia,Brisbane,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Brisbane, Australia",High,English,2026-06-17
Fortescue,Principal AI/Data Platform Engineer & Analytics Lead,https://au.indeed.com/viewjob?jk=28ff50c3f249c08b,Australia,Perth,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Perth, Australia",High,English,2026-06-17
CEVA Logistics,Continuous Improvement Engineer | Hazelmere WA,https://au.indeed.com/viewjob?jk=f59add3232aa6482,Australia,Perth,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Perth, Australia",High,English,2026-06-17
Airflite Pty Ltd,Aircraft Maintenance Engineers (AME/LAME) - Mechanical,https://au.indeed.com/viewjob?jk=133b5f42ab7e16a4,Australia,Perth,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Perth, Australia",High,English,2026-06-17
Duxxel,Technical Business Analyst,https://au.indeed.com/viewjob?jk=a64d29e14e6433f7,Australia,Perth,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Perth, Australia",High,English,2026-06-17
Thermo Fisher Scientific,Regional Service Manager - WA & SA,https://au.indeed.com/viewjob?jk=315ef73d08773b39,Australia,Perth,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Perth, Australia",High,English,2026-06-17
Alcoa,Chemist Vacation Student,https://au.indeed.com/viewjob?jk=d8e70deccf4c972f,Australia,Perth,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Perth, Australia",High,English,2026-06-17
CIVMEC,Estimator Junior,https://au.indeed.com/viewjob?jk=45242b5b19288253,Australia,Perth,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Perth, Australia",High,English,2026-06-17
Medtronic,Senior Strategic Sales Specialist,https://au.indeed.com/viewjob?jk=57fb6508051113c2,Australia,Perth,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Perth, Australia",High,English,2026-06-17
Hofmann Engineering Pty Ltd,Project Engineers/Mechanical Engineers/ Project Manager,https://au.indeed.com/viewjob?jk=729482f665f671d7,Australia,Perth,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Perth, Australia",High,English,2026-06-17
Gold Fields,Senior Engineer Mechanical,https://au.indeed.com/viewjob?jk=cda94322103f7144,Australia,Perth,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Perth, Australia",High,English,2026-06-17
Walsh Mining and Civil Pty Ltd,Senior Civil Engineer,https://au.indeed.com/viewjob?jk=040332b53afb04d4,Australia,Perth,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Perth, Australia",High,English,2026-06-17
Epiroc Careers,Senior Software Engineer,https://au.indeed.com/viewjob?jk=9b03c3ac557fd195,Australia,Perth,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Perth, Australia",High,English,2026-06-17
Lane8,Software Engineer (PeopleSoft) - 6-Month Contract | Perth,https://www.linkedin.com/jobs/view/4425048378,Australia,Perth,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Perth, Australia",High,English,2026-06-17
Verse,Senior Software Engineer,https://www.linkedin.com/jobs/view/4422255706,Australia,Perth,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Perth, Australia",High,English,2026-06-17
Hydra Search,Senior Software Engineer,https://www.linkedin.com/jobs/view/4425595870,Australia,Perth,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Perth, Australia",High,English,2026-06-17
Pure Storage,"System Engineer, Perth",https://www.linkedin.com/jobs/view/4405972255,Australia,Perth,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Perth, Australia",High,English,2026-06-17
Horizon Digital,Senior Software Engineer,https://www.linkedin.com/jobs/view/4425587740,Australia,Perth,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Perth, Australia",High,English,2026-06-17
Georgiou,AI Enablement Lead,https://www.linkedin.com/jobs/view/4422274731,Australia,Perth,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Perth, Australia",High,English,2026-06-17
Cubic Corporation,Operator SMT NZL,https://nz.indeed.com/viewjob?jk=7c619b0300204d08,New Zealand,Auckland,Tech,Unknown,Indeed/LinkedIn New Zealand,"Actively hiring in Auckland, New Zealand",High,English,2026-06-17
Working In,Graduate Geotechnical Engineer,https://nz.indeed.com/viewjob?jk=715dda629104ac43,New Zealand,Auckland,Tech,Unknown,Indeed/LinkedIn New Zealand,"Actively hiring in Auckland, New Zealand",High,English,2026-06-17
BNZ,Engineering Platform Manager - Cloud Hosting,https://nz.indeed.com/viewjob?jk=81fd59632ff9e962,New Zealand,Auckland,Tech,Unknown,Indeed/LinkedIn New Zealand,"Actively hiring in Auckland, New Zealand",High,English,2026-06-17
ASB Bank,Software Specialist - Technical Analyst,https://nz.indeed.com/viewjob?jk=396d86ccbcef5157,New Zealand,Auckland,Tech,Unknown,Indeed/LinkedIn New Zealand,"Actively hiring in Auckland, New Zealand",High,English,2026-06-17
EY,Senior Consultant - SIEM Engineer - Cybersecurity,https://nz.indeed.com/viewjob?jk=14888880f2724af4,New Zealand,Auckland,Tech,Unknown,Indeed/LinkedIn New Zealand,"Actively hiring in Auckland, New Zealand",High,English,2026-06-17
New Zealand Government,"System Engineer, Technology Data",https://nz.indeed.com/viewjob?jk=48eb29f3af2aaaf4,New Zealand,Auckland,Tech,Unknown,Indeed/LinkedIn New Zealand,"Actively hiring in Auckland, New Zealand",High,English,2026-06-17
BECA,Software Engineer,https://nz.indeed.com/viewjob?jk=65a3576a046bdfe0,New Zealand,Auckland,Tech,Unknown,Indeed/LinkedIn New Zealand,"Actively hiring in Auckland, New Zealand",High,English,2026-06-17
Woolworths Group,Data/AI/ML Engineer,https://www.linkedin.com/jobs/view/4425463019,New Zealand,Auckland,Tech,Unknown,Indeed/LinkedIn New Zealand,"Actively hiring in Auckland, New Zealand",High,English,2026-06-17
ANZ,Site Reliability Engineer,https://www.linkedin.com/jobs/view/4425494019,New Zealand,Auckland,Tech,Unknown,Indeed/LinkedIn New Zealand,"Actively hiring in Auckland, New Zealand",High,English,2026-06-17
Cognex Corporation,Principal Software Engineer,https://www.linkedin.com/jobs/view/4413731809,New Zealand,Auckland,Tech,Unknown,Indeed/LinkedIn New Zealand,"Actively hiring in Auckland, New Zealand",High,English,2026-06-17
Simpro Software,Software Engineer - Mobile,https://www.linkedin.com/jobs/view/4407805075,New Zealand,Auckland,Tech,Unknown,Indeed/LinkedIn New Zealand,"Actively hiring in Auckland, New Zealand",High,English,2026-06-17
